1|12|22|18|10|20|10|20|21|64|874.41;
2|4|23|11|18|2|11|9|3|31|364.61;
3|18|14|1|22|14|20|22|3|59|540.7;
4|5|4|14|20|19|5|5|7|54|627;
5|6|16|19|14|21|22|2|3|16|227.16;
6|11|14|18|8|24|18|7|6|58|778.14;
7|23|18|20|19|0|14|15|2|40|457.09;
8|2|5|23|12|3|1|8|11|20|172.41;
9|21|19|14|13|10|17|15|4|72|668.79;
10|11|5|12|1|18|21|0|11|28|322.18;
11|22|9|17|10|5|5|14|2|39|382.48;
12|6|20|14|5|23|23|13|11|72|1045.13;
13|0|0|5|2|20|0|2|3|69|972.8;
14|23|3|15|20|2|7|6|3|38|531.64;
15|18|24|15|0|18|4|19|12|24|342.01;
16|11|2|14|1|13|6|3|5|80|730.53;
17|14|23|10|18|21|14|22|13|71|774.44;
18|23|13|13|19|2|24|11|24|34|300.51;
19|21|19|15|8|9|3|18|20|39|523.32;
20|23|21|23|21|0|18|8|4|25|192.57;
21|20|18|24|21|8|13|21|17|45|575.52;
22|19|12|10|23|12|7|16|23|71|656.69;
23|14|21|2|16|15|9|21|13|21|220.37;
24|18|2|7|6|9|4|24|18|63|888.95;
25|22|6|8|12|15|5|4|7|79|661.71;
26|9|17|12|8|14|14|6|0|65|752.2;
27|12|18|5|18|4|24|16|19|56|646.92;
28|7|24|15|19|8|14|17|13|37|462.88;
29|4|10|2|0|12|6|2|12|47|385.49;
30|21|15|18|17|15|14|4|19|47|592.51;
31|7|23|6|1|24|18|1|12|44|657.77;
32|23|14|9|16|23|6|24|22|19|264.44;
33|16|4|12|3|24|24|4|16|66|587.29;
34|17|19|1|5|1|24|18|17|59|539.78;
35|21|0|14|23|0|16|19|2|50|551.45;
36|22|20|11|11|10|19|21|3|24|290.67;
37|8|18|7|5|23|17|19|24|69|927.29;
38|23|21|21|10|12|0|19|15|26|374.02;
39|14|14|18|7|17|11|6|8|48|630.96;
40|4|0|10|2|6|10|19|17|38|515.33;
41|2|13|7|2|2|9|19|12|44|541.9;
42|5|2|22|22|8|20|18|20|37|351.23;
43|14|7|15|10|23|4|11|6|59|703;
44|7|24|4|8|20|1|7|3|42|517.48;
45|6|19|11|22|8|12|8|2|40|367.55;
46|7|12|10|23|8|11|17|24|26|225.4;
47|10|15|6|7|19|2|1|23|78|1019.96;
48|5|17|1|1|11|7|9|11|76|1099.05;
49|8|2|13|7|6|17|2|12|64|680.87;
50|17|13|13|3|8|8|11|19|57|465.95;
51|14|16|18|23|11|23|10|6|46|549.65;
52|10|17|3|19|10|4|21|21|47|362.22;
53|9|0|1|1|12|17|18|3|28|346.57;
